Quartier,Latitude,Longitude
bois de singe,,
makèpè,4.0638116,9.7409587
carrefour agip,,
non precisé,,
bependa maturite,,
boko cogefar,,
akwa ngodi,,
new-bell,4.0314849,9.7057582
logpom ,4.0769067,9.7711838
bonapriso 2,4.0256151,9.6930153
ndogpassiii,,
bonabéri grand-hangar,4.078772871707699,9.656972783135211
godi bokocie,,
ccc ndokotti,,
hôpital général de douala ,4.0646681000000005,9.758410469967764
entree bille,,
new town aéroport ,4.0099569,9.7362826
cogefar,4.0478234,9.7700357
ndobassi,,
nyalla pariso,4.0247435,9.7926602
ngodi akwa,4.04808915,9.707157446139915
nono plage,,
nyala château,,
pk 8 entrée laïque,,
carrefour ari,,
mbassong,,
jardin ndogmbe,,
douala ndopassiz,,
nyalla kambo 2,4.0328835,9.7887296
pk23,4.0429389,9.7062018
ras ,,
yansoki bakoko,3.9683525,9.792147274525096
pihidibamba,,
logbessou,4.0810919,9.7970314
cité cic,,
bonateki deido,4.0703304,9.7175548
dibombari,4.1086583,9.57527098162615
log-baba,,
pas précisé,,
pk12 mandjab,,
nyala,,
newbell,,
rond point ccc,,
ari village ,,
logbaba ,4.0328521,9.7603178
edéa ,4.014538805155774,9.728310146044757
bonamodoro diedo,,
nboko,,
bonapriso,4.0256151,9.6930153
enri,,
akwa nord,4.0767237,9.718644468336116
kotto,4.068528243095271,9.714105357861241
journaliste ,,
pk16 nsape,,
pk15,4.0429389,9.7062018
douala ndogpassi,4.0035112,9.7571861
new bell,4.0314849,9.7057582
logpom,4.0769067,9.7711838
bp cité,4.047342,9.728418
ndogpassi ii,4.0234504,9.7766879
batie,5.3060544,10.3161372
cite de cille,,
damas,,
saint thomas logbaba ,,
pk12 emmene cite,,
mbanga bakoko,4.0070341,9.7992035
ndopassi,,
pk 16,4.0429389,9.7062018
makepe ,4.0638116,9.7409587
henry ,,
kms,,
 cité sic,4.0539142,9.7307181
non précisé,,
pk10 ,4.04981385,9.774591069921874
binamoussadi,,
borne 10,,
henry,,
kotto ,4.068528243095271,9.714105357861241
mboko,,
ndongbong,4.0574531,9.7500991
aucun,,
cite sic,4.0539142,9.7307181
bonamoussadi,,
deïdo,4.0637626,9.7151827
ange rafael,,
congo,4.0373892,9.7053201
cite des pakmiers,,
pk13 bassa,4.0481713,9.7520627
cite berge,3.997321,9.7471531
kotto- chefferie,4.09503615,9.756771010687453
log baba,,
entree billes,,
bependa aeroport,,
manjo,4.84455145,9.821909642444568
hôpital général,4.03999095,9.684760464819284
dongbang,,
bonaberi ,,
nglon,,
itba village,4.0099761,9.7356878
buea,3.7502628,9.6613316
bakoko,3.98577,9.785696
entrée mini cité cogefar,,
pk11 mbengue city,,
madasgascar,,
elf,4.0118142,9.7322941
