Quartier,Latitude,Longitude
logbaba ,4.0328521,9.7603178
ndogpassi 2,4.0100854,9.7566698
dakar,4.0253489,9.735171
ngangue,,
douala,4.0429389,9.7062018
bependa,,
bepanda,4.0565417,9.7227206
pk14,4.0782914,9.793469679342078
ari ,,
douala douala,4.0429389,9.7062018
logbessou ,4.0844731,9.7842289
makepe,4.0638116,9.7409587
pk12,4.063814900000001,9.788722827636814
nyalla,4.0334103,9.7744243
nkolbong,,
yassa,3.9913253,9.8103803
ngodi bakoko,3.98577,9.785696
ndokoti,4.0434344,9.7436776
deido,4.0637626,9.7151827
bastos,,
new bell,4.0314849,9.7057582
sic cacao,4.0569862,9.7296056
boko,3.9948221,9.7632311
ndogpassi 3,3.9987391,9.7647887
ndogpassi ,4.0100854,9.7566698
pk13,4.07355255,9.792444078575132
pk9,4.0429389,9.7062018
bessengue,4.0292338,9.7966293
ari,,
newbell,,
yansoki ,3.9681898,9.7940657
ndobo ,4.1018152,9.6360158
mbanga,4.0070341,9.7992035
pk8,4.0470063,9.7578107
village,4.011774,9.7294207
japoma,4.032334,9.8226875
terminus saint michel ,,
bonanjo,4.043024,9.6864962
bonaberi,4.0822098,9.6649718
deido ,4.0637626,9.7151827
bafoussam,4.20160765,9.605571509765612
ccc ,4.0352186,9.741403218023724
soboum-dakar ,,
hôpital général de douala ,4.0646681000000005,9.758410469967764
saint thomas logbaba ,,
bangapongo ,,
new town aéroport ,4.0099569,9.7362826
she’ll-village,,
she’ll village ,,
bependa ,,
bocom safari ,,
kotto,4.064061462871038,9.710128275940628
logpom,4.0769067,9.7711838
bonamoussadi,4.094354,9.7393663
bonamoussadi ,4.094354,9.7393663
dschang,,
nyalla pariso,4.0247435,9.7926602
nyalla chateau,,
nkolmesseng,,
carrefour ari,,
bependa aeroport,,
cite cic,,
ndg-bong,,
ndogbong ,4.0644714,9.7521285
douala ,4.0429389,9.7062018
pk10,4.049684450000001,9.773645117417459
nyalla pariso ,4.0247435,9.7926602
beedi,4.0611714,9.7662924
non précise ,,
beedi malangue,,
n’y alla pariso,,
log-baba,,
total aeroport,4.0155083,9.7267159
bonaberi ndobo,4.0977803,9.648011993377997
bonaberi ndoba,,
pk9 ,4.0429389,9.7062018
log baba,,
ndogbong,4.0644714,9.7521285
ndogbon ,,
